" ",,,,,,,,"Urban (N = 648, 89.5%)",,,,,,,,"Rural (N = 75, 10.5%)"," ",,,,"Totals (N = 723)"," ",," "," "," "
" ",,"Gay/Lesbian N = 489 (75.5%)",,"Bisexual N = 103 (15.9%)",,"Heterosexual N = 14 (2.2%)",,"Unsure/Questioning/ Other N = 42 (6.5%)",,"Gay/ Lesbian N = 55 (73.3%)",,"Bisexual N = 16 (21.3%)",,"Heterosexual N = 2 (2.7%)",,"Unsure/Questioning/ Other N = 2 (2.7%)",,"Gay/ Lesbian N = 544 (75.2%)",,"Bisexual N = 119 (16.5%)",,"Heterosexual N = 16 (2.2%)",,"Unsure/Questioning/Other N = 44 (6.1%)",,"Total"
"Characteristics","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%","N","%"
"Self-employed","31","6.3","5","4.9","2","14.3","5","11.9","1","1.8","2","12.5","1","50.0","1","50.0","32","5.9","7","5.9","3","18.8","6","13.6","48","6.6"
"Out of work for more than 1 year","16","3.3","3","2.9","−","−","3","7.1","1","1.8","1","6.3","−","−","−","−","17","3.1","4","3.4","0","0.0","3","6.8","24","3.3"
"Out of work for less than 1 year","21","4.3","6","5.8","1","7.1","3","7.1","4","7.3","2","12.5","−","−","1","50.0","25","4.6","8","6.7","1","6.3","4","9.1","38","5.3"
"Homemaker","2","0.4","3","2.9","−","−","−","−","1","1.8","1","6.3","−","−","−","−","3","0.6","4","3.4","0","0.0","0","0.0","7","1.0"
"Student","101","20.7","32","31.1","3","21.4","19","45.2","11","20.0","4","25.0","1","50.0","−","−","112","20.6","36","30.3","4","25.0","19","43.2","171","23.7"
"Retired","16","3.3","4","3.9","1","7.1","1","2.4","2","3.6","−","−","−","−","−","−","18","3.3","4","3.4","1","6.3","1","2.3","24","3.3"
"Unable to work","5","1.0","8","7.8","−","−","−","−","7","12.7","−","−","−","−","−","−","12","2.2","8","6.7","0","0.0","0","0.0","20","2.8"
"Income","(n = 456)"," ","(n = 93)"," ","(n = 12)"," ","(n = 36)"," ","(n = 50)"," ","(n = 14)"," "," "," ","(n = 1)"," "," "," "," "," "," "," "," "," "," "," "
"≤ $15,000","63","13.8","26","28.0","3","25.0","13","36.1","20","40.0","3","21.4","−","−","−","−","83","16.4","29","27.1","3","21.4","13","35.1","128","19.3"
"$15,001-$25,000","55","12.1","15","16.1","2","16.7","3","8.3","5","10.0","3","21.4","−","−","1","100.0","60","11.9","18","16.8","2","14.3","4","10.8","84","12.7"
"$25,001-$50,000","137","30.0","20","21.5","1","8.3","9","25.0","18","36.0","5","35.7","−","−","−","−","155","30.6","25","23.4","1","7.1","9","24.3","190","28.6"
"$50,001-$75,000","77","16.9","18","19.4","1","8.3","3","8.3","5","10.0","2","14.3","2","100.0","−","−","82","16.2","20","18.7","3","21.4","3","8.1","108","16.3"
"$75,001 or more","124","27.2","14","15.1","5","41.7","8","22.2","2","4.0","1","7.1","−","−","−","−","126","24.9","15","14.0","5","35.7","8","21.6","154","23.2"
"Housing","(n = 479)"," ","(n = 101)"," ","(n = 13)"," ","(n = 40)"," ","(n = 52)"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Rent my apartment, house or room","199","41.5","49","48.5","6","46.2","20","50.0","15","28.8","4","25.0","−","−","−","−","214","40.3","53","45.3","6","40.0","20","47.6","293","41.6"
"Own my own home","205","42.8","35","34.7","5","38.5","8","20.0","20","38.5","7","43.8","1","50.0","1","50.0","225","42.4","42","35.9","6","40.0","9","21.4","282","40.0"
"Residential treatment facility","2","0.4","−","−","−","−","−","−","−","−","−","−","−","−","−","−","2","0.4","0","0.0","0","0.0","0","0.0","2","0.3"
"Live with friends (pay no rent)","2","0.4","−","−","−","−","−","−","−","−","−","−","−","−","−","−","2","0.4","0","0.0","0","0.0","0","0.0","2","0.3"
"Live with partner (pay no rent)","24","5.0","4","4.0","−","−","1","2.5","4","7.7","−","−","−","−","−","−","28","5.3","4","3.4","0","0.0","1","2.4","33","4.7"
"Live with family (pay no rent)","25","5.2","10","9.9","1","7.7","3","7.5","7","13.5","3","18.8","1","50.0","1","50.0","32","6.0","13","11.1","2","13.3","4","9.5","51","7.2"
"Other","22","4.6","3","3.0","1","7.7","8","20.0","6","11.5","2","12.5","−","−","−","−","28","5.3","5","4.3","1","6.7","8","19.0","42","6.0"
