year,sex,sexual_orientation,ages,Estimate
2017,M,Don't know or refuse,35-49,139
2017,M,Don't know or refuse,50-64,134
2017,M,Don't know or refuse,65+,108
2017,F,Heterosexual or straight,16-24,3159
2017,F,Heterosexual or straight,25-34,4240
2017,F,Heterosexual or straight,35-49,6187
2017,F,Heterosexual or straight,50-64,6084
2017,F,Heterosexual or straight,65+,6021
2017,F,Gay or lesbian,16-24,60
2017,F,Gay or lesbian,25-34,54
2017,F,Gay or lesbian,35-49,68
2017,F,Gay or lesbian,50-64,50
2017,F,Gay or lesbian,65+,19
2017,F,Bisexual,16-24,107
2017,F,Bisexual,25-34,52
2017,F,Bisexual,35-49,38
2017,F,Bisexual,50-64,31
2017,F,Bisexual,65+,18
2017,F,Other,16-24,42
2017,F,Other,25-34,23
2017,F,Other,35-49,35
2017,F,Other,50-64,32
2017,F,Other,65+,28
2017,F,Don't know or refuse,16-24,101
2017,F,Don't know or refuse,25-34,78
2017,F,Don't know or refuse,35-49,131
2017,F,Don't know or refuse,50-64,133
2017,F,Don't know or refuse,65+,168
2018,M,Heterosexual or straight,16-24,3256
2018,M,Heterosexual or straight,25-34,4158
2018,M,Heterosexual or straight,35-49,5903
2018,M,Heterosexual or straight,50-64,5921
2018,M,Heterosexual or straight,65+,5242
2018,M,Gay or lesbian,16-24,79
2018,M,Gay or lesbian,25-34,134
2018,M,Gay or lesbian,35-49,134
2018,M,Gay or lesbian,50-64,107
2018,M,Gay or lesbian,65+,29
2018,M,Bisexual,16-24,65
2018,M,Bisexual,25-34,30
2018,M,Bisexual,35-49,25
2018,M,Bisexual,50-64,25
2018,M,Bisexual,65+,14
2018,M,Other,16-24,22
2018,M,Other,25-34,25
2018,M,Other,35-49,35
2018,M,Other,50-64,30
2018,M,Other,65+,29
2018,M,Don't know or refuse,16-24,150
2018,M,Don't know or refuse,25-34,126
2018,M,Don't know or refuse,35-49,156
2018,M,Don't know or refuse,50-64,132
2018,M,Don't know or refuse,65+,116
2018,F,Heterosexual or straight,16-24,3098
2018,F,Heterosexual or straight,25-34,4200
2018,F,Heterosexual or straight,35-49,6144
2018,F,Heterosexual or straight,50-64,6148
2018,F,Heterosexual or straight,65+,6111
2018,F,Gay or lesbian,16-24,34
2018,F,Gay or lesbian,25-34,49
2018,F,Gay or lesbian,35-49,80
2018,F,Gay or lesbian,50-64,56
2018,F,Gay or lesbian,65+,21
2018,F,Bisexual,16-24,131
2018,F,Bisexual,25-34,68
2018,F,Bisexual,35-49,49
2018,F,Bisexual,50-64,31
2018,F,Bisexual,65+,19
2018,F,Other,16-24,44
2018,F,Other,25-34,27
2018,F,Other,35-49,40
2018,F,Other,50-64,32
2018,F,Other,65+,29
2018,F,Don't know or refuse,16-24,113
2018,F,Don't know or refuse,25-34,111
2018,F,Don't know or refuse,35-49,144
2018,F,Don't know or refuse,50-64,138
2018,F,Don't know or refuse,65+,164
2019,M,Heterosexual or straight,16-24,3137
2019,M,Heterosexual or straight,25-34,4158
2019,M,Heterosexual or straight,35-49,5799
2019,M,Heterosexual or straight,50-64,5959
2019,M,Heterosexual or straight,65+,5315
2019,M,Gay or lesbian,16-24,115
2019,M,Gay or lesbian,25-34,142
2019,M,Gay or lesbian,35-49,149
2019,M,Gay or lesbian,50-64,106
2019,M,Gay or lesbian,65+,35
2019,M,Bisexual,16-24,93
2019,M,Bisexual,25-34,41
2019,M,Bisexual,35-49,29
2019,M,Bisexual,50-64,22
2019,M,Bisexual,65+,22
2019,M,Other,16-24,33
2019,M,Other,25-34,21
2019,M,Other,35-49,44
2019,M,Other,50-64,37
2019,M,Other,65+,35
2019,M,Don't know or refuse,16-24,151
2019,M,Don't know or refuse,25-34,141
2019,M,Don't know or refuse,35-49,185
2019,M,Don't know or refuse,50-64,199
2019,M,Don't know or refuse,65+,125
2019,F,Heterosexual or straight,16-24,2979
2019,F,Heterosexual or straight,25-34,4168
2019,F,Heterosexual or straight,35-49,6055
2019,F,Heterosexual or straight,50-64,6193
2019,F,Heterosexual or straight,65+,6151
2019,F,Gay or lesbian,16-24,63
2019,F,Gay or lesbian,25-34,62
2019,F,Gay or lesbian,35-49,76
2019,F,Gay or lesbian,50-64,61
2019,F,Gay or lesbian,65+,31
2019,F,Bisexual,16-24,187
2019,F,Bisexual,25-34,76
2019,F,Bisexual,35-49,55
2019,F,Bisexual,50-64,34
2019,F,Bisexual,65+,32
2019,F,Other,16-24,35
2019,F,Other,25-34,32
2019,F,Other,35-49,47
2019,F,Other,50-64,36
2019,F,Other,65+,39
2019,F,Don't know or refuse,16-24,113
2019,F,Don't know or refuse,25-34,123
2019,F,Don't know or refuse,35-49,181
2019,F,Don't know or refuse,50-64,193
2019,F,Don't know or refuse,65+,184
